Site Name,addresses,City,Zip,County
SOUTH PENN ELEMENTARY,500 EAST SECOND STREET,CUMBERLAND,21502,ALLEGANY
CASH VALLEY ELEMENTARY,10601 CASH VALLEY ROAD,CUMBERLAND,21502,ALLEGANY
ALLEGANY HIGH SCHOOL,900 SETON DRIVE,CUMBERLAND,21502,ALLEGANY
BEL AIR ELEMENTARY,14401 BARTON BOULEVARD,CUMBERLAND,21502,ALLEGANY
BEL AIR ELEMENTARY,14401 BARTON BOULEVARD,CUMBERLAND,21502,ALLEGANY
BRADDOCK MIDDLE SCHOOL,909 HOLLAND STREET,CUMBERLAND,21502,ALLEGANY
CRESAPTOWN ELEMENTARY,13202 SIXTH AVENUE,CUMBERLAND,21502,ALLEGANY
FORT HILL HIGH SCHOOL,500 GREENWAY AVENUE,CUMBERLAND,21502,ALLEGANY
JOHN HUMBIRD ELEMENTARY,120 MARY STREET,CUMBERLAND,21502,ALLEGANY
NORTHEAST ELEMENTARY,11001 FOREST AVENUE,CUMBERLAND,21502,ALLEGANY
PARKSIDE ELEMENTARY,50 PARKSIDE BOULEVARD,CUMBERLAND,21502,ALLEGANY
CAREER CENTER,14211 MCMULLEN HIGHWAY  SW,CUMBERLAND,21502,ALLEGANY
WASHINGTON MIDDLE SCHOOL,200 MASSACHUSETTS AVENUE,CUMBERLAND,21502,ALLEGANY
WEST SIDE ELEMENTARY,425 PACA STREET,CUMBERLAND,21502,ALLEGANY
FLINTSTONE ELEMENTARY SCHOOL,22000 NATIONAL PIKE  NE,FLINTSTONE,21530,ALLEGANY
FROST ELEMENTARY SCHOOL,260 SHAW STREET,FROSTBURG,21532,ALLEGANY
MTN RIDGE HIGH SCHOOL,100 GRASMICK LANE,FROSTBURG,21532,ALLEGANY
BEALL ELEMENTARY,EAST COLLEGE AVENUE,FROSTBURG,21532,ALLEGANY
GEORGES CREEK ELEMENTARY,15600 LWR. GEORGES CREEK ROAD,LONACONING,21539,ALLEGANY
WESTMAR MIDDLE SCHOOL,16915 LWR. GEORGES CREEK ROAD,LONACONING,21539,ALLEGANY
MT. SAVAGE SCHOOL,13201 NEW SCHOOL ROAD,MOUNT SAVAGE,21545,ALLEGANY
WESTERNPORT ELEMENTARY,172 CHURCH STREET,WESTERNPORT,21562,ALLEGANY
LYONS CREEK ESTATE MOBILE MEALS,LOWER PINDELL ROAD & LYONS DEN,LOTHIAN,20711,ANNE ARUNDEL
BOONE'S MOBILE ESTATES MOBILE MEALS,SARAH ANNE DRIVE & BOONE'S DR.,LOTHIAN,20711,ANNE ARUNDEL
LOTHIAN ELEMENTARY,5157 SOLOMONS ISLAND ROAD,LOTHIAN,20711,ANNE ARUNDEL
PATUXENT MOBILE - MOBILE MEALS,121 PATUXENT MOBILE ESTATES,LOTHIAN,20711,ANNE ARUNDEL
RIO VISTA - MOBILE MEALS,900 MARGARITA STREET,LOTHIAN,20711,ANNE ARUNDEL
WAYSON WOODS - MOBILE MEALS,128 MAIN STREET,LOTHIAN,20711,ANNE ARUNDEL
BROCK BRIDGE ELEMENTARY MOBILE MEALS,405 BROCK BRIDGE ROAD,LAUREL,20724,ANNE ARUNDEL
MARYLAND CITY ELEMENTARY MOBILE MEALS,3359 CRUMPTON SOUTH,LAUREL,20724,ANNE ARUNDEL
RUSSETT LIBRARY MOBILE MEALS,3501 RUSSETT COMMONS,LAUREL,20724,ANNE ARUNDEL
MACARTHUR MIDDLE,3500 ROCKENBACH ROAD,FORT GEORGE G MEADE,20755,ANNE ARUNDEL
MEADE MIDDLE,1103 26TH STREET,FORT GEORGE G MEADE,20755,ANNE ARUNDEL
MEADE HEIGHTS ELEMENTARY,1925 REECE ROAD,FORT GEORGE G MEADE,20755,ANNE ARUNDEL
MEADE HIGH,1100 CLARK ROAD,FORT GEORGE G MEADE,20755,ANNE ARUNDEL
CARRIE WEEDON EARLY EDUCATION CENTER,911 GALESVILLE ROAD,GALESVILLE,20765,ANNE ARUNDEL
MARYLAND MANOR - MOBILE MEALS,1500 BERKLEY COURT,HARWOOD,20776,ANNE ARUNDEL
TRACEY'S ELEMENTARY,20 DEALE ROAD,TRACYS LANDING,20779,ANNE ARUNDEL
SOUTH RIVER HIGH,201 CENTRAL AVENUE EAST,EDGEWATER,21037,ANNE ARUNDEL
EASTPORT ELEMENTARY,420 FIFTH STREET,ANNAPOLIS,21043,ANNE ARUNDEL
CROFTON MIDDLE,2301 DAVIDSONVILLE ROAD,GAMBRILLS,21054,ANNE ARUNDEL
HERITAGE OVERLOOK,125 LOYLD LANE ,GLEN BURNIE,21060,ANNE ARUNDEL
GLENDALE ELEMENTARY,105 CARROLL ROAD,GLEN BURNIE,21060,ANNE ARUNDEL
POINT PLEASANT ELEMENTARY,1035 DUMBARTON ROAD,GLEN BURNIE,21060,ANNE ARUNDEL
MARLEY ELEMENTARY,715 COOPER ROAD,GLEN BUNIE,21060,ANNE ARUNDEL
GLEN BURNIE HIGH,7550 BALTIMORE ANNAPOLIS BLVD.,GLEN BURNIE,21060,ANNE ARUNDEL
FREETOWN ELEMENTARY,7904 FREETOWN ROAD,GLEN BURNIE,21060,ANNE ARUNDEL
NORTH COUNTY HIGH,10 E. 1ST AVENUE,GLEN BURNIE,21061,ANNE ARUNDEL
THE WILLOWS APARTMENTS MOBILE MEALS,116 WARWICKSHIRE LANE H & A RO,GLEN BURNIE,21061,ANNE ARUNDEL
HERITAGE HILL COMMUNITY MOBILE MEALS,6399 CONTINENTAL DRIVE & HERIT,GLEN BURNIE,21061,ANNE ARUNDEL
HILLTOP ELEMENTARY,415 MELROSE AVENUE,GLEN BURNIE,21061,ANNE ARUNDEL
SOUTHGATE ELEMENTARY,290 SHETLANDS LANE,GLEN BURNIE,21061,ANNE ARUNDEL
WOODSIDE ELEMENTARY,160 FUNKE ROAD,GLEN BURNIE,21061,ANNE ARUNDEL
GLEN BURNIE PARK ELEMENTARY,500 MARLBORO ROAD,GLEN BURNIE,21061,ANNE ARUNDEL
NORTH GLEN ELEMENTARY,615 FURNACE BRANCH ROAD,GLEN BURNIE,21061,ANNE ARUNDEL
GEORGE CROMWELL ELEMENARY,221 OLEN DRIVE,GLEN BURNIE,21061,ANNE ARUNDEL
RIPPLING WOODS ELEMENTARY,530 NOLFIELD DRIVE,GLEN BURNIE,21061,ANNE ARUNDEL
OLD MILL MIDDLE NORTH,610 PATRIOT LANE,MILLERSVILLE,21108,ANNE ARUNDEL
ODENTON ELEMENTARY,1290 ODENTON ROAD,ODENTON,21113,ANNE ARUNDEL
PASADENA ELEMENTARY,401 EAST PASADENA ROAD,PASADENA,21122,ANNE ARUNDEL
NORTHEAST HIGH,1121 DUVALL HIGHWAY,PASADENA,21122,ANNE ARUNDEL
CHESAPEAKE HIGH,4798 MOUNTAIN ROAD,PASADENA,21122,ANNE ARUNDEL
CHESAPEAKE HIGH,4798 MOUNTAIN ROAD,PASADENA,21122,ANNE ARUNDEL
BGCAA-FREETOWN VILLAGE,7820 DARREL HENRY COURT,PASADENA,21122,ANNE ARUNDEL
MEAD VILLAGE BOYS & GIRLS ,1710 MEADE CIRCLE ,SEVERN,21144,ANNE ARUNDEL
MEADE VILLAGE COMMUNITY - MOBILE MEALS,1710 MEADE VILLAGE CIRCLE,SEVERN,21144,ANNE ARUNDEL
PIONEER CITY PLAYGROUND- MOBILE MEALS,8443 PIONEER DRIVE,SEVERN,21144,ANNE ARUNDEL
VAN BOKKELEN ELEMENTARY,1140 REECE ROAD,SEVERN,21144,ANNE ARUNDEL
SPRING MEADOWS MOBILE MEALS,8311 STILL MEADOWS DRIVE,SEVERN,21144,ANNE ARUNDEL
STILL MEADOWS MOBILE MEALS,8201 AVERILL COURT,SEVERN,21144,ANNE ARUNDEL
BROOKLYN PARK MIDDLE,200 HAMMONDS LANE,BROOKLYN,21225,ANNE ARUNDEL
BELLE GROVE ELEMENTARY,4502 BELLE GROVE ROAD,BROOKLYN,21225,ANNE ARUNDEL
BROOKLYN PARK ELEMENTARY,200 14TH AVENUE,BROOKLYN,21225,ANNE ARUNDEL
PUMPHREY COMMUNITY CENTER,5757 BELLE GROVE ROAD,BROOKLYN,21225,ANNE ARUNDEL
PARK ELEMENTARY,201 EAST 11TH STREET,BROOKLYN,21225,ANNE ARUNDEL
CONGREGATION KNESETH ISRAEL MOBILE MEALS,1125 SPA ROAD,ANNAPOLIS,21401,ANNE ARUNDEL
BATES MIDDLE,701 CHASE STREET,ANNAPOLIS,21401,ANNE ARUNDEL
GERMANTOWN ELEMENTARY,200 WINDELL AVENUE,ANNAPOLIS,21401,ANNE ARUNDEL
BYWATER COMMUNITY MOBILE MEALS,1901 COPELAND STREET,ANNAPOLIS,21401,ANNE ARUNDEL
HILLTOP VILLAGE MOBILE MEALS,2 HERITAGE CT. @ MERRYMAN RD.,ANNAPOLIS,21401,ANNE ARUNDEL
WOODSIDE GARDENS MOBILE MEALS,701 NEWTOWN DRIVE,ANNAPOLIS,21401,ANNE ARUNDEL
ANNAPOLIS GARDENS MOBILE MEALS,1845 BOWMAN COURT,ANNAPOLIS,21401,ANNE ARUNDEL
MILLS PAROLE ELEMENTARY,1 GEORGE AND MARION PHELPS LAN,ANNAPOLIS,21401,ANNE ARUNDEL
ANNAPOLIS HIGH,2700 RIVA ROAD,ANNAPOLIS,21401,ANNE ARUNDEL
ROBINWOOD COMMUNITY CENTER ,1469 TYLER AVENUE ,ANNAPOLIS,21401,ANNE ARUNDEL
ADMIRAL OAKS BOYS & GIRLS ,417 CAPTAIN'S CIRCLE,ANNAPOLIS,21401,ANNE ARUNDEL
BGCAA-BATES,121 SOUTH VILLA AVE,ANNAPOLIS,21401,ANNE ARUNDEL
BGCAA-BYWATER,1903 COPELAND ST,ANNAPOLIS,21401,ANNE ARUNDEL
BROADNECK HIGH,1265 GREEN HOLLY DRIVE,ANNAPOLIS,21401,ANNE ARUNDEL
EASTPORT COMMUITY CENTER ,1014 PRESIDENT STREET ,ANNAPOLIS,21403,ANNE ARUNDEL
ANNAPOLIS MIDDLE,1399 FOREST DRIVE,ANNAPOLIS,21403,ANNE ARUNDEL
ADMIRAL FARRAGUT MOBILE MEALS,205 BOXWOOD CT. @ BOXWOOD RD.,ANNAPOLIS,21403,ANNE ARUNDEL
GEORGETOWN EAST ELEMENTARY,111 DOGWOOD ROAD,ANNAPOLIS,21403,ANNE ARUNDEL
TYLER HEIGHTS ELEMENTARY,200 JANWALL STREET,ANNAPOLIS,21403,ANNE ARUNDEL
SADDLEBROOK APARTMENTS,307 FOXFIRE PLACE,COCKEYSVILLE,21030,BALTIMORE
COCKEYSVILLE PAL K-8 DAY & TEEN EVENING PROGRAM  ,9836 GREENSIDE DRIVE ,COCKEYSVILLE,21030,BALTIMORE
DULANEY EYLP,255 EAST PADONIA ROAD,LUTHERVILLE TIMONIUM,21093,BALTIMORE
GIGGLES ,11435 CRONHILL DRIVE ,OWINGS MILLS,21117,BALTIMORE
NEW TOWN HIGH,4931 NEW TOWN BLVD,OWINGS MILLS,21117,BALTIMORE
OWINGS MILLS ELEM,10824 REISTERSTOWN RD,OWINGS MILLS,21117,BALTIMORE
KINGS POINT KIDDIE KOACH,9922 LIBERTY RD,RANDALLSTOWN,21133,BALTIMORE
DEER PARK MIDDLE ,9830 WINANDS RD,RANDALLSTOWN,21133,BALTIMORE
SWEET POTATO KIDS,9631 LIBERTY RD,RANDALLSTOWN,21133,BALTIMORE
CHURCH LANE ELEMENTARY,3820 FERNSIDE RD,RANDALLSTOWN,21133,BALTIMORE
CARRIAGE HILL APARTMENTS,3456 CARRIAGE HILL COR,RANDALLSTOWN,21133,BALTIMORE
GLYNDON ELEMENTARY,445 GLYNDON DR.,REISTERSTOWN,21136,BALTIMORE
FEATHERBED LANE ELEMENTARY,6700 RICHARDSON RD,GWYNN OAK,21207,BALTIMORE
WOODMOOR ELEMENTARY,3200 ELBA DR.,GWYNN OAK,21207,BALTIMORE
WOODMOOR PAL,711 CROYDON RD,BALTIMORE,21207,BALTIMORE
WOODMOOR SHOPPING ,7003 LIBERTY RD. ,GWYNN OAK,21207,BALTIMORE
MILBROOK ELEMENTARY,4388 CRESTHEIGHTS RD,BALTIMORE,21215,BALTIMORE
SPARROWS POINT MIDDLE & HIGH ,7400 NORTH POINT ROAD,SPARROWS POINT,21219,BALTIMORE
WHISPERING WOODS APARTMENTS,37 ALBERGE LANE,MIDDLE RIVER,21220,BALTIMORE
MARS ESTATES PAL CENTER,1498 E. HOMBERG AVE,ESSEX,21221,BALTIMORE
COVE VILLAGE APARTMENTS,2 DRIFTWOOD CT.,ESSEX,21221,BALTIMORE
STEMMERS RUN MIDDLE  EYLP,201 STEMMERS RUN RD,ESSEX,21221,BALTIMORE
DUNDALK ELEMENTARY,2717 PLAYFIELD ST,DUNDALK,21222,BALTIMORE
BATTLE GROVE ELEMENTARY,7828 ST. PATRICIA LANE,DUNDALK,21222,BALTIMORE
ST. PETERS LUTHERAN CHURCH,7834 EASTERN AVE,DUNDALK,21222,BALTIMORE
SOLLERS POINT MULTI PURPOSE CTR- TURNER STATION ,325 SOLLERS POINT ROAD,BALTIMORE,21222,BALTIMORE
SANDY PLAINS EL  ESY/ ELO,8330 KAVANAGH ROAD,BALTIMORE,21222,BALTIMORE
GEN STRICK MID,7855 TRAPPE ROAD,DUNDALK,21222,BALTIMORE
DUNDALK PAL SUMMER PROGRAM,15 COMMERCE STREET ,DUNDALK,21222,BALTIMORE
BERKSHIRE ELEMENTARY,7431 POPLAR AVE,BALTIMORE,21224,BALTIMORE
WESTLAND GARDENS APARTMENT,4700 GATEWAY TERRACE SUITE B,HALETHORPE,21227,BALTIMORE
LANDSDOWNE PAL ,2301 ALMA ROAD ,HALETHORPE,21227,BALTIMORE
LANSDOWNE HIGH ,3800 HOLLINS FERRY RD,HALETHORPE,21227,BALTIMORE
LANSDOWNE CHURCH OF GOD CHILDCARE,2130 SMITH AVE.,HALETHORPE,21227,BALTIMORE
JOHNNYCAKE ELEMENTARY,5910 CRAIGMONT RD,CATONSVILLE,21228,BALTIMORE
HALSTEAD ACADEMY,1111 HALSTEAD RD,PARKVILLE,21234,BALTIMORE
HILLENDALE PAL CENTER,1111 HALSTEAD ROAD ,PARKVILLE,21234,BALTIMORE
SHADY SPRING PAL,8876 GOLDENWOOD ROAD,ROSEDALE,21237,BALTIMORE
SCOTTS BRANCH PAL CNT,3651 ROLLING ROAD ,WINDSOR MILL,21244,BALTIMORE
SCOTTS BRANCH ELEMENTARY,8220 TAWNMOORE RD,WINDSOR MILL,21244,BALTIMORE
WINFIELD PAL ,8304 CARLSON LANE ,WINDSOR MILL,21244,BALTIMORE
PLEASANT PLAINS ELEMENTARY,8300 PLEASANT PLAINS,TOWSON,21286,BALTIMORE
2790 MCCULLOH HOMES HIGH RISE,1100 DRUID HILL AVE - MGMT OFF,BALTIMORE,21201,BALTIMORE CITY
1802 LEXINGTON POE,206 N FREMONT AVE,BALTIMORE,21201,BALTIMORE CITY
2791 LATROBE HOMES,900 E MADISON,BALTIMORE,21202,BALTIMORE CITY
8020 MOBILE MEALS - CAROLINE,100 SOUTH CAROLINE,BALTIMORE,21202,BALTIMORE CITY
8017 WESTPORT ELEMENTARY MOBILE MEALS,2401 NEVADA,BALTIMORE,21202,BALTIMORE CITY
3528 NAZARENE BAPTIST CHURCH,1201 HARFORD RD,BALTIMORE,21202,BALTIMORE CITY
8006 MOBILE MEALS - BOCEK PARK,3000 EAST MADISON STREET,BALTIMORE,21205,BALTIMORE CITY
CARROLL F. COOK REC,5061 EAST EAGER STREET,BALTIMORE,21205,BALTIMORE CITY
CHICK WEBB REC,623 NORTH EDEN STREET,BALTIMORE,21205,BALTIMORE CITY
CHICK WEBB RECREATION CTR,623 N. EDEN STREET,BALTIMORE,21205,BALTIMORE CITY
CARROLL F. COOK RECREATION CENTER,5061 E. EAGER ST.,BALTIMORE,21205,BALTIMORE CITY
GARDENVILLE RECREATION CENTER,4517 HAZELWOOD AVE.,BALTIMORE,21206,BALTIMORE CITY
HERRING RUN RECREATION CENTER,5001 SINCLAIR LANE  REAR,BALTIMORE,21206,BALTIMORE CITY
HERRING RUN REC,5001 SINCLAIR LANE,BALTIMORE,21206,BALTIMORE CITY
WALTER P. CARTER CHILD CARE,4815 FRANKFORD AVE,BALTIMORE,21206,BALTIMORE CITY
YSP @ FURLEY REC,4633 FURLEY AVE,BALTIMORE,21206,BALTIMORE CITY
8015 GWYNN OAK & MILFORD MOBILE MEALS,5032 GWYNN OAK AVENUE,GWYNN OAK,21207,BALTIMORE CITY
GARDENVILLE REC,4517 HAZELWOOD AVE,BALTIMORE,21207,BALTIMORE CITY
0356 LIBERTY REC AND TECH,3901 MAINE AVE,GWYNN OAK,21207,BALTIMORE CITY
MEDFIELD HEIGHTS RECREATION CENTER,1501 WOODHEIGHTS AVENUE,BALTIMORE,21211,BALTIMORE CITY
ROOSEVELT COMMUNITY CENTER,1221 W 36TH STREET,BALTIMORE,21211,BALTIMORE CITY
MEDFIELD REC,1501 WOODHEIGHTS AVE,BALTIMORE,21211,BALTIMORE CITY
ROOSEVELT REC,1221 WEST 36TH STREET,BALTIMORE,21211,BALTIMORE CITY
3901 ITALIAN CULTURAL CENTER - BE A CHEF FOR A DAY,315 HOMELAND SOUTHWAY,BALTIMORE,21212,BALTIMORE CITY
DEWEES REC,5501 IVANHOE AVE,BALTIMORE,21212,BALTIMORE CITY
DEWEES RECREATION CENTER,5501 IVANHOE AVENUE,BALTIMORE,21212,BALTIMORE CITY
OLIVER RECREATION CTR,1600 N. SPRING STREET,BALTIMORE,21213,BALTIMORE CITY
MADISON SQUARE RECREATION CENTER,1401 E. BIDDLE STREET,BALTIMORE,21213,BALTIMORE CITY
229 COLLINGTON SQUARE ,1309 N. PATTERSON PARK AVE,BALTIMORE,21213,BALTIMORE CITY
3235 RITA CHURCH COMMUNITY CENTER,2101 SAINT LO DRIVE,BALTIMORE,21213,BALTIMORE CITY
COLLINGTON SQUARE REC,409 NORTH COLLINGTON AVE,BALTIMORE,21213,BALTIMORE CITY
MADISON SQUARE REC,1401 EAST BIDDLE,BALTIMORE,21213,BALTIMORE CITY
OLIVER REC,1600 NORTH SPRING STREET,BALTIMORE,21213,BALTIMORE CITY
8009 PARKSIDE METHODIST MOBILE MEALS,4400 PARKSIDE DRIVE,BALTIMORE,21213,BALTIMORE CITY
8008 FOOD DEPOT MOBILE MEALS,2401 BELAIR RD,BALTIMORE,21213,BALTIMORE CITY
RITA CHURCH COMMUNITY CENTER,101 ST. LO DRIVE,BALTIMORE,21213,BALTIMORE CITY
8013 GARRISON MIDDLE SCHOOL MOBILE MEALS,3910 BARRINGTON ROAD,BALTIMORE,21215,BALTIMORE CITY
LANGSTON HUGHES COMMUNITY CENTER ,5011 ARBUTUS AVENUE ,BALTIMORE,21215,BALTIMORE CITY
8014 NORTHWESTERN CAP,2929 REISTERSTOWN ROAD,BALTIMORE,21215,BALTIMORE CITY
JAMES D. GROSS,4600 LANIER AVE,BALTIMORE,21215,BALTIMORE CITY
CC JACKSON REC,4910 PARKHEIGHTS AVE,BALTIMORE,21215,BALTIMORE CITY
359 C.C. JACKSON COMMUNITY CENTER,4910 PARK HEIGHTS AVE,BALTIMORE,21215,BALTIMORE CITY
3410 CALLOWHILL AQUATIC CENTER,2821 OAKLEY AVE,BALTIMORE,21215,BALTIMORE CITY
